Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-010323

Details: Indexed curvature calculated using regional volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
0, 150.097885 , 18101.134766, 0.031530,  25.850528, 29.997552, 24.878785, 65.129475, 14.253183, 11.445455, 3117.458418, 3617.570962, 3000.270570, 7854.324218, 1718.870286, 1380.270837, 0.541365, 0.413027, 0.700400, 0.670148, 0.952108, 0.820323, -2.48358, 8.47542
1, 132.627197 , 17080.458984, 0.032179,  23.868146, 26.840611, 22.197482, 56.031564, 12.672306, 9.985421, 3073.871123, 3456.681514, 2858.713874, 7216.052993, 1632.009213, 1285.977485, 0.528927, 0.398770, 0.699368, 0.654563, 0.930759, 0.820855, -2.66287, 8.83602
2, 132.952148 , 17080.689453, 0.031930,  23.941345, 26.978220, 22.233814, 56.025473, 12.834849, 9.979756, 3075.803484, 3465.958320, 2856.432744, 7197.730418, 1648.924671, 1282.123835, 0.529449, 0.392950, 0.708139, 0.648907, 0.906816, 0.819404, -2.65600, 8.72568
3, 132.851517 , 17013.607422, 0.031768,  23.927536, 27.019573, 22.249272, 55.796153, 12.944940, 9.990015, 3064.276087, 3460.257378, 2849.349439, 7145.525491, 1657.791685, 1279.369660, 0.529980, 0.385716, 0.718647, 0.640341, 0.902906, 0.819399, -2.67867, 8.52375
4, 127.411713 , 16541.744141, 0.031873,  23.361054, 26.170849, 21.221014, 53.081574, 12.300920, 9.611733, 3032.944065, 3397.737201, 2755.104684, 6891.531685, 1597.017074, 1247.882446, 0.533089, 0.375133, 0.712877, 0.630209, 0.899154, 0.813925, -2.81671, 8.31178
5, 117.873749 , 15704.204102, 0.032250,  22.282334, 24.653927, 19.342292, 48.485004, 11.158871, 8.943815, 2968.653541, 3284.618428, 2576.954592, 6459.609445, 1486.685489, 1191.575750, 0.538694, 0.359758, 0.697376, 0.619811, 0.899489, 0.802729, -3.09824, 8.00200
6, 107.937927 , 14856.339844, 0.032662,  21.077874, 23.061652, 17.400185, 43.722855, 10.040020, 8.197895, 2901.112486, 3174.155366, 2394.923427, 6017.918116, 1381.886331, 1128.340368, 0.548990, 0.343276, 0.680792, 0.605795, 0.889562, 0.792064, -3.42282, 7.74839
7, 98.924179 , 14094.464844, 0.033090,  19.936294, 21.583529, 15.699268, 39.395855, 9.074214, 7.486375, 2840.472540, 3075.166370, 2236.791779, 5613.021251, 1292.870985, 1066.639623, 0.557609, 0.328635, 0.670970, 0.592071, 0.870687, 0.784295, -3.71189, 7.55652
8, 92.077950 , 13501.783203, 0.033516,  19.049040, 20.461697, 14.403907, 36.146439, 8.332077, 6.938019, 2793.242193, 3000.386021, 2112.106398, 5300.306767, 1221.768005, 1017.351386, 0.566256, 0.316671, 0.662142, 0.580788, 0.866082, 0.777431, -3.99806, 7.39750
9, 85.706375 , 12959.229492, 0.034100,  18.205207, 19.388072, 13.250122, 33.117689, 7.657139, 6.417993, 2752.717611, 2931.572590, 2003.484220, 5007.558840, 1157.797423, 970.432440, 0.575526, 0.303638, 0.664431, 0.570079, 0.872282, 0.771286, -4.37148, 7.30481
