Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-050323-1

Details: Indexed curvature calculated using regional volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex,
0, 150.097885 , 18101.134766, 0.031530,  25.981880, 32.136330, 25.052701, 67.728709, 9.810472, 11.445455, 3133.298817, 3875.498122, 3021.243979, 8167.780324, 1183.099161, 1380.270837, 0.557548, 0.460871,-0.015627, 0.912378, 1.170888, 0.820323,
1, 132.627197 , 17080.458984, 0.032179,  23.994453, 28.710916, 22.442558, 58.337818, 8.788728, 9.985421, 3090.137616, 3697.549674, 2890.276031, 7513.065110, 1131.860690, 1285.977485, 0.544273, 0.448222,-0.046724, 0.903723, 1.159239, 0.820855,
2, 132.952148 , 17080.689453, 0.031930,  24.067951, 28.864723, 22.480804, 58.346995, 8.932861, 9.979756, 3092.068872, 3708.321965, 2888.164160, 7495.982091, 1147.626677, 1282.123835, 0.544846, 0.442335,-0.038569, 0.898331, 1.134876, 0.819404,
3, 132.851517 , 17013.607422, 0.031768,  24.054008, 28.925580, 22.456894, 58.133613, 9.035289, 9.990015, 3080.472718, 3704.349880, 2875.938510, 7444.871950, 1157.102864, 1279.369660, 0.545562, 0.434727,-0.019175, 0.888741, 1.124801, 0.819399,
4, 127.411713 , 16541.744141, 0.031873,  23.484356, 28.016542, 21.348610, 55.325750, 8.618247, 9.611733, 3048.952218, 3637.361835, 2771.670295, 7182.891014, 1118.899012, 1247.882446, 0.548687, 0.423669,-0.017604, 0.875897, 1.123574, 0.813925,
5, 117.873749 , 15704.204102, 0.032250,  22.399354, 26.375723, 19.362870, 50.557885, 7.866454, 8.943815, 2984.243991, 3514.011738, 2579.696107, 6735.777359, 1048.039877, 1191.575750, 0.554306, 0.407540,-0.019077, 0.860387, 1.128754, 0.802729,
6, 107.937927 , 14856.339844, 0.032662,  21.187778, 24.643689, 17.351423, 45.609544, 7.135559, 8.197895, 2916.239359, 3391.903354, 2388.211843, 6277.597834, 982.122741, 1128.340368, 0.564595, 0.390486,-0.033473, 0.843572, 1.132317, 0.792064,
7, 98.924179 , 14094.464844, 0.033090,  20.039607, 23.032012, 15.613585, 41.112257, 6.505229, 7.486375, 2855.192232, 3281.542447, 2224.583865, 5857.569772, 926.848527, 1066.639623, 0.573215, 0.375708,-0.051976, 0.829005, 1.133154, 0.784295,
8, 92.077950 , 13501.783203, 0.033516,  19.146816, 21.811281, 14.286180, 37.731813, 6.017257, 6.938019, 2807.579501, 3198.281425, 2094.843662, 5532.776972, 882.336127, 1017.351386, 0.581974, 0.363555,-0.060753, 0.817090, 1.136151, 0.777431,
9, 85.706375 , 12959.229492, 0.034100,  18.297743, 20.646682, 13.112521, 34.582500, 5.564257, 6.417993, 2766.709482, 3121.880760, 1982.678284, 5229.045474, 841.343264, 970.432440, 0.591449, 0.350592,-0.045460, 0.806398, 1.128564, 0.771286,
10, 80.523949 , 12508.125977, 0.033986,  17.578375, 19.689214, 12.175184, 32.034588, 5.198798, 5.992827, 2730.523582, 3058.409136, 1891.222979, 4976.068547, 807.551302, 930.891299, 0.552574, 0.341218,-0.057022, 0.797405, 1.132667, 0.766005,
11, 76.530403 , 12156.894531, 0.034338,  17.017013, 18.948102, 11.479909, 30.054297, 4.927664, 5.658191, 2703.161482, 3009.915916, 1823.589517, 4774.140854, 782.761942, 898.806575, 0.559243, 0.335016,-0.067017, 0.789253, 1.136912, 0.762548,
