Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-050323-2

Details: Indexed curvature calculated using total volume

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex,
0, 150.097885 , 18101.134766, 0.031530,  25.981880, 32.136330, 25.052701, 67.728709, 9.810472, 11.445455, 3133.298817, 3875.498122, 3021.243979, 8167.780324, 1183.099161, 1380.270837, 1.000423, 0.770380,-0.028381, 1.189530, 2.906767, 1.934484,
1, 132.627197 , 17080.458984, 0.032179,  23.994453, 28.710916, 22.442558, 58.337818, 8.788728, 9.985421, 3090.137616, 3697.549674, 2890.276031, 7513.065110, 1131.860690, 1285.977485, 0.962331, 0.746486,-0.084474, 1.188309, 2.864675, 1.943965,
2, 132.952148 , 17080.689453, 0.031930,  24.067951, 28.864723, 22.480804, 58.346995, 8.932861, 9.979756, 3092.068872, 3708.321965, 2888.164160, 7495.982091, 1147.626677, 1282.123835, 0.963147, 0.735971,-0.069749, 1.182121, 2.791579, 1.942481,
3, 132.851517 , 17013.607422, 0.031768,  24.054008, 28.925580, 22.456894, 58.133613, 9.035289, 9.990015, 3080.472718, 3704.349880, 2875.938510, 7444.871950, 1157.102864, 1279.369660, 0.964355, 0.722623,-0.034680, 1.170635, 2.755606, 1.941313,
4, 127.411713 , 16541.744141, 0.031873,  23.484356, 28.016542, 21.348610, 55.325750, 8.618247, 9.611733, 3048.952218, 3637.361835, 2771.670295, 7182.891014, 1118.899012, 1247.882446, 0.964128, 0.701926,-0.031931, 1.156682, 2.757603, 1.926284,
5, 117.873749 , 15704.204102, 0.032250,  22.399354, 26.375723, 19.362870, 50.557885, 7.866454, 8.943815, 2984.243991, 3514.011738, 2579.696107, 6735.777359, 1048.039877, 1191.575750, 0.964147, 0.671286,-0.034833, 1.140871, 2.782779, 1.896125,
6, 107.937927 , 14856.339844, 0.032662,  21.187778, 24.643689, 17.351423, 45.609544, 7.135559, 8.197895, 2916.239359, 3391.903354, 2388.211843, 6277.597834, 982.122741, 1128.340368, 0.971479, 0.638893,-0.061561, 1.124161, 2.800378, 1.870327,
7, 98.924179 , 14094.464844, 0.033090,  20.039607, 23.032012, 15.613585, 41.112257, 6.505229, 7.486375, 2855.192232, 3281.542447, 2224.583865, 5857.569772, 926.848527, 1066.639623, 0.976012, 0.610718,-0.096177, 1.110881, 2.807387, 1.854200,
8, 92.077950 , 13501.783203, 0.033516,  19.146816, 21.811281, 14.286180, 37.731813, 6.017257, 6.938019, 2807.579501, 3198.281425, 2094.843662, 5532.776972, 882.336127, 1017.351386, 0.982328, 0.587573,-0.113062, 1.100067, 2.820687, 1.840638,
9, 85.706375 , 12959.229492, 0.034100,  18.297743, 20.646682, 13.112521, 34.582500, 5.564257, 6.417993, 2766.709482, 3121.880760, 1982.678284, 5229.045474, 841.343264, 970.432440, 0.989591, 0.563451,-0.084998, 1.091277, 2.807987, 1.829870,
10, 80.523949 , 12508.125977, 0.033986,  17.578375, 19.689214, 12.175184, 32.034588, 5.198798, 5.992827, 2730.523582, 3058.409136, 1891.222979, 4976.068547, 807.551302, 930.891299, 0.917710, 0.545672,-0.107035, 1.084213, 2.823424, 1.821083,
11, 76.530403 , 12156.894531, 0.034338,  17.017013, 18.948102, 11.479909, 30.054297, 4.927664, 5.658191, 2703.161482, 3009.915916, 1823.589517, 4774.140854, 782.761942, 898.806575, 0.923105, 0.533526,-0.126129, 1.077768, 2.836556, 1.816850,
12, 73.677856 , 11931.509766, 0.034979,  16.598422, 18.377292, 11.037983, 28.649749, 4.728427, 5.417614, 2687.975043, 2976.048089, 1787.508570, 4639.586287, 765.728967, 877.337049, 0.924276, 0.528980,-0.079325, 1.077874, 2.860633, 1.815252,
13, 72.961433 , 11852.948242, 0.035184,  16.496448, 18.269072, 10.860238, 28.320694, 4.662834, 5.393681, 2679.930105, 2967.901659, 1764.299787, 4600.837688, 757.500616, 876.230309, 0.970669, 0.515042,-0.071486, 1.071294, 2.855424, 1.799934,
14, 72.347191 , 11749.988281, 0.034676,  16.408625, 18.210231, 10.597180, 28.093482, 4.613256, 5.393566, 2664.943211, 2957.544040, 1721.099934, 4562.693810, 749.244151, 875.975022, 0.986010, 0.492460,-0.124546, 1.058901, 2.826836, 1.779201,
15, 74.793533 , 11936.926758, 0.034217,  16.844581, 18.719787, 11.017581, 29.215694, 4.756113, 5.627701, 2688.367949, 2987.647722, 1758.388189, 4662.777545, 759.067959, 898.171926, 0.980343, 0.489522,-0.126775, 1.054215, 2.864461, 1.772858,
16, 83.128922 , 12596.660156, 0.033179,  18.215397, 20.362016, 12.527382, 33.099229, 5.296469, 6.367635, 2760.208705, 3085.489327, 1898.294524, 5015.579884, 802.582561, 964.898084, 0.952238, 0.501671,-0.065797, 1.056099, 2.838118, 1.773154,
17, 95.079781 , 13558.876953, 0.032053,  20.151902, 22.622650, 14.816017, 38.642345, 6.152196, 7.363688, 2873.767248, 3226.108899, 2112.841929, 5510.601647, 877.335500, 1050.100607, 0.923782, 0.532609,-0.019057, 1.065492, 2.786394, 1.786918,
18, 105.626785 , 14535.339844, 0.031722,  21.627387, 24.377469, 17.153004, 43.589381, 7.002865, 8.169599, 2976.152669, 3354.592420, 2360.431140, 5998.350600, 963.666774, 1124.221494, 0.938890, 0.581225,-0.026627, 1.088582, 2.751292, 1.823685,
19, 115.959351 , 15440.286133, 0.032067,  22.647717, 26.091301, 19.094422, 49.237990, 7.551593, 8.956652, 3015.601768, 3474.123850, 2542.471424, 6556.165037, 1005.514109, 1192.601236, 0.964042, 0.641601,-0.029839, 1.123171, 2.863586, 1.862033,
20, 126.932106 , 16165.427734, 0.031724,  23.736297, 28.166468, 20.687918, 55.383899, 8.145947, 9.841395, 3022.934198, 3587.138269, 2634.708117, 7053.412060, 1037.426448, 1253.350041, 0.966350, 0.684255,-0.019095, 1.132401, 2.906298, 1.876946,
21, 134.105377 , 16674.472656, 0.031546,  24.438695, 29.489853, 21.808654, 59.346715, 8.583046, 10.410085, 3038.672488, 3666.726262, 2711.656925, 7379.085818, 1067.203650, 1294.375170, 0.971387, 0.707314,-0.005022, 1.142091, 2.914518, 1.883907,
22, 136.603378 , 16863.503906, 0.031295,  24.715325, 29.958783, 22.356738, 60.469529, 8.843875, 10.613928, 3051.073803, 3698.371621, 2759.909309, 7464.882360, 1091.764564, 1310.275240, 0.971988, 0.707840, 0.005425, 1.142140, 2.860235, 1.876013,
23, 135.568161 , 16820.355469, 0.031244,  24.665316, 29.750712, 22.324298, 59.727699, 8.859883, 10.502667, 3060.300726, 3691.261379, 2769.843554, 7410.597292, 1099.272641, 1303.097858, 0.971249, 0.701807, 0.003460, 1.139747, 2.830293, 1.879507,
24, 132.982361 , 16644.884766, 0.031322,  24.447923, 29.266979, 21.919134, 58.294324, 8.707673, 10.275617, 3060.051171, 3663.233546, 2743.532557, 7296.473179, 1089.905445, 1286.158961, 0.967449, 0.695029,-0.003808, 1.137404, 2.830929, 1.882441,
25, 130.988251 , 16496.990234, 0.031371,  24.283257, 28.902347, 21.620732, 57.151882, 8.594631, 10.119505, 3058.294474, 3640.034274, 2722.969343, 7197.851700, 1082.429381, 1274.475914, 0.969919, 0.687486,-0.006046, 1.133831, 2.825000, 1.880091,
26, 129.450577 , 16395.080078, 0.031460,  24.130384, 28.603477, 21.386069, 56.330054, 8.486083, 9.987314, 3056.144080, 3622.667068, 2708.573040, 7134.273667, 1074.773266, 1264.906077, 0.968090, 0.685474,-0.011698, 1.133251, 2.833242, 1.882814,
27, 128.834366 , 16357.153320, 0.031514,  24.054163, 28.484005, 21.262359, 56.049876, 8.421485, 9.939774, 3053.980485, 3616.404973, 2699.525654, 7116.241163, 1069.214106, 1261.980059, 0.968669, 0.684304,-0.015830, 1.133668, 2.845226, 1.883150,
28, 128.454575 , 16336.156250, 0.031580,  23.999433, 28.404441, 21.183002, 55.899937, 8.372245, 9.904534, 3052.117774, 3612.322801, 2693.939433, 7109.051028, 1064.736737, 1259.604949, 0.968701, 0.685126,-0.019556, 1.134900, 2.859119, 1.885670,
