Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-080323

Details: Indexed curvature calculated using total volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Total Indexed Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
0, 150.097885 , 18101.134766, 0.031530, 1.039492,  22.756997, 28.479743, 21.416367, 61.016003, 7.215477, 8.485942, 2744.392359, 3434.530033, 2582.718386, 7358.257910, 870.154354, 1023.366819, 1.000423, 0.770380,-0.028381, 1.189530, 2.906767, 1.934484, -1.94453, 7.20100
1, 132.627197 , 17080.458984, 0.032179, 1.018012,  21.060787, 25.516772, 19.169958, 52.348887, 6.454215, 7.431808, 2712.323988, 3286.190294, 2468.812578, 6741.777537, 831.209344, 957.109058, 0.962331, 0.746486,-0.084474, 1.188309, 2.864675, 1.943965, -1.93600, 7.22916
2, 132.952148 , 17080.689453, 0.031930, 1.010959,  21.133008, 25.651243, 19.184442, 52.346050, 6.561128, 7.424764, 2715.009580, 3295.478334, 2464.672456, 6725.025860, 842.924241, 953.877691, 0.963147, 0.735971,-0.069749, 1.182121, 2.791579, 1.942481, -1.95694, 7.16243
3, 132.851517 , 17013.607422, 0.031768, 1.005572,  21.132188, 25.704513, 19.161246, 52.126733, 6.640969, 7.429256, 2706.290316, 3291.844407, 2453.881995, 6675.601869, 850.474694, 951.426461, 0.964355, 0.722623,-0.034680, 1.170635, 2.755606, 1.941313, -1.98821, 7.07515
4, 127.411713 , 16541.744141, 0.031873, 0.994932,  20.658714, 24.922775, 18.185901, 49.526587, 6.329325, 7.158931, 2682.101723, 3235.700894, 2361.058784, 6429.991107, 821.730473, 929.437348, 0.964128, 0.701926,-0.031931, 1.156682, 2.757603, 1.926284, -2.02688, 7.03458
5, 117.873749 , 15704.204102, 0.032250, 0.980921,  19.745505, 23.515606, 16.445676, 45.136421, 5.767654, 6.683450, 2630.674199, 3132.961092, 2191.041212, 6013.481049, 768.418864, 890.429430, 0.964147, 0.671286,-0.034833, 1.140871, 2.782779, 1.896125, -2.08785, 6.98397
6, 107.937927 , 14856.339844, 0.032662, 0.964715,  18.718457, 22.029525, 14.685630, 40.605001, 5.222775, 6.148855, 2576.367436, 3032.095639, 2021.297984, 5588.783388, 718.851288, 846.315008, 0.971479, 0.638893,-0.061561, 1.124161, 2.800378, 1.870327, -2.16526, 6.95295
7, 98.924179 , 14094.464844, 0.033090, 0.949363,  17.739184, 20.642205, 13.173276, 36.495548, 4.756904, 5.635721, 2527.433851, 2941.048856, 1876.894825, 5199.792854, 677.751606, 802.963227, 0.976012, 0.610718,-0.096177, 1.110881, 2.807387, 1.854200, -2.25021, 6.94228
8, 92.077950 , 13501.783203, 0.033516, 0.938886,  16.977714, 19.587982, 12.018083, 33.412147, 4.397302, 5.238783, 2489.514697, 2872.269550, 1762.262855, 4899.365938, 644.795181, 768.185138, 0.982328, 0.587573,-0.113062, 1.100067, 2.820687, 1.840638, -2.35079, 6.95425
9, 85.706375 , 12959.229492, 0.034100, 0.932665,  16.252888, 18.575089, 11.002624, 30.537493, 4.064422, 4.860564, 2457.517210, 2808.645561, 1663.651283, 4617.420375, 614.560743, 734.941334, 0.989591, 0.563451,-0.084998, 1.091277, 2.807987, 1.829870, -2.48147, 6.98687
10, 80.523949 , 12508.125977, 0.033986, 0.910415,  15.635058, 17.742241, 10.195037, 28.217666, 3.795737, 4.551577, 2428.659834, 2755.977528, 1583.638433, 4383.169794, 589.607962, 707.015727, 0.917710, 0.545672,-0.107035, 1.084213, 2.823424, 1.821083, -2.63997, 7.02539
11, 76.530403 , 12156.894531, 0.034338, 0.904390,  15.151424, 17.095774, 9.597538, 26.414112, 3.597127, 4.307739, 2406.811640, 2715.672677, 1524.573922, 4195.895528, 571.405432, 684.286633, 0.923105, 0.533526,-0.126129, 1.077768, 2.836556, 1.816850, -2.76068, 7.06103
12, 73.677856 , 11931.509766, 0.034979, 0.909688,  14.790061, 16.593247, 9.223511, 25.135395, 3.451523, 4.132172, 2395.126107, 2687.137022, 1493.670123, 4070.466112, 558.945196, 669.170603, 0.924276, 0.528980,-0.079325, 1.077874, 2.860633, 1.815252, -2.84870, 7.10825
13, 72.961433 , 11852.948242, 0.035184, 0.912029,  14.706712, 16.495804, 9.066053, 24.830938, 3.397240, 4.115607, 2389.178584, 2679.825457, 1472.825370, 4033.909432, 551.898576, 668.600889, 0.970669, 0.515042,-0.071486, 1.071294, 2.855424, 1.799934, -2.86650, 7.08987
14, 72.347191 , 11749.988281, 0.034676, 0.896340,  14.639092, 16.444202, 8.826523, 24.620706, 3.353972, 4.115437, 2377.551266, 2670.721327, 1433.525411, 3998.676431, 544.722284, 668.392743, 0.986010, 0.492460,-0.124546, 1.058901, 2.826836, 1.779201, -2.93270, 7.03073
15, 74.793533 , 11936.926758, 0.034217, 0.894334,  15.023241, 16.877403, 9.181277, 25.605356, 3.458155, 4.285720, 2397.684978, 2693.606289, 1465.316916, 4086.573409, 551.915980, 683.994004, 0.980343, 0.489522,-0.126775, 1.054215, 2.864461, 1.772858, -2.87679, 6.96354
16, 83.128922 , 12596.660156, 0.033179, 0.898298,  16.218232, 18.287170, 10.474308, 29.059329, 3.856225, 4.824210, 2457.575019, 2771.084479, 1587.188875, 4403.407298, 584.340066, 731.020417, 0.952238, 0.501671,-0.065797, 1.056099, 2.838118, 1.773154, -2.69059, 6.81142
17, 95.079781 , 13558.876953, 0.032053, 0.907536,  17.901106, 20.215856, 12.446836, 33.998129, 4.496444, 5.543506, 2552.791839, 2882.887321, 1774.984226, 4848.312048, 641.216504, 790.533078, 0.923782, 0.532609,-0.019057, 1.065492, 2.786394, 1.786918, -2.57214, 6.68046
18, 105.626785 , 14535.339844, 0.031722, 0.930227,  19.160805, 21.713691, 14.497316, 38.466381, 5.128682, 6.123923, 2636.725303, 2988.028957, 1994.980920, 5293.372767, 705.759761, 842.715241, 0.938890, 0.581225,-0.026627, 1.088582, 2.751292, 1.823685, -2.46104, 6.70492
