Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-280223

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
0, 150.097885 , 18101.134766, 0.031530,  25.850528, 29.997552, 24.878785, 65.129475, 14.253183, 11.445455, 3117.458418, 3617.570962, 3000.270570, 7854.324218, 1718.870286, 1380.270837, 0.054137, 0.041303, 0.070040, 0.067015, 0.095211, 0.082032, -0.24836, 0.84754
1, 132.627197 , 17080.458984, 0.032179,  23.868146, 26.840611, 22.197482, 56.031564, 12.672306, 9.985421, 3073.871123, 3456.681514, 2858.713874, 7216.052993, 1632.009213, 1285.977485, 0.052893, 0.039877, 0.069937, 0.065456, 0.093076, 0.082085, -0.26629, 0.88360
2, 132.952148 , 17080.689453, 0.031930,  23.941345, 26.978220, 22.233814, 56.025473, 12.834849, 9.979756, 3075.803484, 3465.958320, 2856.432744, 7197.730418, 1648.924671, 1282.123835, 0.052945, 0.039295, 0.070814, 0.064891, 0.090682, 0.081940, -0.26560, 0.87257
3, 132.851517 , 17013.607422, 0.031768,  23.927536, 27.019573, 22.249272, 55.796153, 12.944940, 9.990015, 3064.276087, 3460.257378, 2849.349439, 7145.525491, 1657.791685, 1279.369660, 0.052998, 0.038572, 0.071865, 0.064034, 0.090291, 0.081940, -0.26787, 0.85237
4, 127.411713 , 16541.744141, 0.031873,  23.361054, 26.170849, 21.221014, 53.081574, 12.300920, 9.611733, 3032.944065, 3397.737201, 2755.104684, 6891.531685, 1597.017074, 1247.882446, 0.053309, 0.037513, 0.071288, 0.063021, 0.089915, 0.081393, -0.28167, 0.83118
5, 117.873749 , 15704.204102, 0.032250,  22.282334, 24.653927, 19.342292, 48.485004, 11.158871, 8.943815, 2968.653541, 3284.618428, 2576.954592, 6459.609445, 1486.685489, 1191.575750, 0.053869, 0.035976, 0.069738, 0.061981, 0.089949, 0.080273, -0.30982, 0.80020
6, 107.937927 , 14856.339844, 0.032662,  21.077874, 23.061652, 17.400185, 43.722855, 10.040020, 8.197895, 2901.112486, 3174.155366, 2394.923427, 6017.918116, 1381.886331, 1128.340368, 0.054899, 0.034328, 0.068079, 0.060579, 0.088956, 0.079206, -0.34228, 0.77484
7, 98.924179 , 14094.464844, 0.033090,  19.936294, 21.583529, 15.699268, 39.395855, 9.074214, 7.486375, 2840.472540, 3075.166370, 2236.791779, 5613.021251, 1292.870985, 1066.639623, 0.055761, 0.032863, 0.067097, 0.059207, 0.087069, 0.078430, -0.37119, 0.75565
8, 92.077950 , 13501.783203, 0.033516,  19.049040, 20.461697, 14.403907, 36.146439, 8.332077, 6.938019, 2793.242193, 3000.386021, 2112.106398, 5300.306767, 1221.768005, 1017.351386, 0.056626, 0.031667, 0.066214, 0.058079, 0.086608, 0.077743, -0.39981, 0.73975
9, 85.706375 , 12959.229492, 0.034100,  18.205207, 19.388072, 13.250122, 33.117689, 7.657139, 6.417993, 2752.717611, 2931.572590, 2003.484220, 5007.558840, 1157.797423, 970.432440, 0.057553, 0.030364, 0.066443, 0.057008, 0.087228, 0.077129, -0.43715, 0.73048
10, 80.523949 , 12508.125977, 0.033986,  17.490294, 18.507730, 12.322719, 30.669296, 7.115292, 5.992827, 2716.841576, 2874.884203, 1914.140286, 4763.991868, 1105.248461, 930.891299, 0.053621, 0.029408, 0.065711, 0.056083, 0.086916, 0.076601, -0.46692, 0.72542
11, 76.530403 , 12156.894531, 0.034338,  16.932364, 17.826689, 11.630573, 28.765068, 6.713193, 5.658191, 2689.714852, 2831.778897, 1847.522570, 4569.346156, 1066.394188, 898.806575, 0.054270, 0.028754, 0.065155, 0.055233, 0.086760, 0.076255, -0.49332, 0.72112
12, 73.677856 , 11931.509766, 0.034979,  16.516166, 17.300553, 11.177179, 27.413760, 6.433967, 5.417614, 2674.654290, 2801.679175, 1810.050177, 4439.428111, 1041.926940, 877.337049, 0.054582, 0.028503, 0.064512, 0.054868, 0.092079, 0.076049, -0.51861, 0.71974
13, 72.961433 , 11852.948242, 0.035184,  16.415200, 17.191470, 11.024885, 27.096251, 6.338615, 5.393681, 2666.730909, 2792.839898, 1791.047410, 4401.920795, 1029.739594, 876.230309, 0.057462, 0.027723, 0.064533, 0.054444, 0.091654, 0.075542, -0.52837, 0.71214
14, 72.347191 , 11749.988281, 0.034676,  16.328816, 17.128327, 10.798860, 26.876362, 6.259729, 5.393566, 2651.981299, 2781.830832, 1753.854890, 4365.020007, 1016.649516, 875.975022, 0.058424, 0.026448, 0.064509, 0.053881, 0.085325, 0.074882, -0.53715, 0.70083
15, 74.793533 , 11936.926758, 0.034217,  16.762331, 17.580310, 11.266934, 27.937907, 6.477312, 5.627701, 2675.240968, 2805.789027, 1798.184411, 4458.844709, 1033.768546, 898.171926, 0.057943, 0.026273, 0.064470, 0.054232, 0.084838, 0.074845, -0.53018, 0.70121
